Data,valor,año
2020-01-01,8.2,2020
2020-02-01,10.2,2020
2020-03-01,9.6,2020
2020-04-01,11.6,2020
2020-05-01,15.9,2020
2020-06-01,15.4,2020
2020-07-01,18.6,2020
2020-08-01,17.6,2020
2020-09-01,16.8,2020
2020-10-01,12.4,2020
2020-11-01,11.2,2020
2020-12-01,8.3,2020
2021-01-01,7.0,2021
2021-02-01,9.5,2021
2021-03-01,9.6,2021
2021-04-01,11.4,2021
2021-05-01,12.4,2021
2021-06-01,15.3,2021
2021-07-01,16.7,2021
2021-08-01,17.5,2021
2021-09-01,16.5,2021
2021-10-01,13.9,2021
2021-11-01,9.2,2021
2021-12-01,10.4,2021
2022-01-01,7.8,2022
2022-02-01,8.7,2022
2022-03-01,9.3,2022
2022-04-01,10.4,2022
2022-05-01,15.1,2022
2022-06-01,15.8,2022
2022-07-01,20.0,2022
2022-08-01,19.3,2022
2022-09-01,16.6,2022
2022-10-01,15.1,2022
2022-11-01,11.3,2022
2022-12-01,10.0,2022
2023-01-01,7.8,2023
2023-02-01,7.5,2023
2023-03-01,10.6,2023
2023-04-01,12.9,2023
2023-05-01,14.7,2023
2023-06-01,17.8,2023
2023-07-01,17.4,2023
2023-08-01,18.8,2023
2023-09-01,17.4,2023
2023-10-01,15.8,2023
2023-11-01,11.7,2023
2023-12-01,8.8,2023
2024-01-01,9.3,2024
2024-02-01,10.2,2024
2024-03-01,9.2,2024
2024-04-01,12.2,2024
2024-05-01,12.8,2024
2024-06-01,15.8,2024
2024-07-01,18.1,2024
2024-08-01,18.8,2024
2024-09-01,15.5,2024
2024-10-01,14.9,2024
2024-11-01,13.1,2024
2024-12-01,8.4,2024
