Data,valor,año
2020-01-01,14.0,2020
2020-02-01,21.5,2020
2020-03-01,20.6,2020
2020-04-01,21.4,2020
2020-05-01,32.3,2020
2020-06-01,32.3,2020
2020-07-01,35.0,2020
2020-08-01,31.8,2020
2020-09-01,32.8,2020
2020-10-01,20.2,2020
2020-11-01,18.2,2020
2020-12-01,15.8,2020
2021-01-01,15.3,2021
2021-02-01,18.2,2021
2021-03-01,25.9,2021
2021-04-01,20.8,2021
2021-05-01,27.4,2021
2021-06-01,28.9,2021
2021-07-01,32.9,2021
2021-08-01,29.7,2021
2021-09-01,30.1,2021
2021-10-01,26.2,2021
2021-11-01,17.8,2021
2021-12-01,18.2,2021
2022-01-01,18.0,2022
2022-02-01,18.5,2022
2022-03-01,20.3,2022
2022-04-01,23.7,2022
2022-05-01,31.5,2022
2022-06-01,29.0,2022
2022-07-01,37.0,2022
2022-08-01,33.5,2022
2022-09-01,29.7,2022
2022-10-01,26.5,2022
2022-11-01,19.0,2022
2022-12-01,15.4,2022
2023-01-01,14.0,2023
2023-02-01,20.4,2023
2023-03-01,19.7,2023
2023-04-01,25.4,2023
2023-05-01,27.3,2023
2023-06-01,29.8,2023
2023-07-01,26.2,2023
2023-08-01,35.4,2023
2023-09-01,30.8,2023
2023-10-01,30.8,2023
2023-11-01,17.1,2023
2023-12-01,16.0,2023
2024-01-01,19.6,2024
2024-02-01,20.3,2024
2024-03-01,23.3,2024
2024-04-01,28.0,2024
2024-05-01,26.5,2024
2024-06-01,27.8,2024
2024-07-01,32.1,2024
2024-08-01,32.0,2024
2024-09-01,27.2,2024
2024-10-01,23.4,2024
2024-11-01,22.3,2024
2024-12-01,15.6,2024
