"Código validación","Data","Código parámetro","Parámetro","Valor","Unidades"
"1","2020-01-01 00:00:00.0","PP_SUM_1.5m","Chuvia","473.0","L/m2"
"1","2020-01-01 00:00:00.0","PP_MAX_1.5m","Chuvia diaria máxima","116.4","L/m2"
"1","2020-01-01 00:00:00.0","DV_CONDICION_2m","Dirección do refacho a 2m","44.0","º"
"1","2020-01-01 00:00:00.0","DVP_MODA_2m","Dirección do vento predominante a 2m","225.0","º"
"1","2020-01-01 00:00:00.0","HFRIO7_SUM_1.5m","Horas de frío ( <=7ºC)","258.3","h"
"1","2020-01-01 00:00:00.0","HF_SUM_1.5m","Horas humidade foliar mensuais","441.1","h"
"1","2020-01-01 00:00:00.0","HR_AVGMAX_1.5m","Humidade media das máximas a 1.5m","100.0","%"
"1","2020-01-01 00:00:00.0","HR_AVGMIN_1.5m","Humidade media das mínimas a 1.5m","85.0","%"
"1","2020-01-01 00:00:00.0","HR_AVG_1.5m","Humidade relativa media a 1.5m","96.0","%"
"1","2020-01-01 00:00:00.0","NDPP_RECUENTO_1.5m","Número de días de chuvia (>0L/m2)","20.0","Días"
"1","2020-01-01 00:00:00.0","NDPP10_RECUENTO_1.5m","Número de días de chuvia (>10L/m2)","10.0","Días"
"1","2020-01-01 00:00:00.0","NDPP1_RECUENTO_1.5m","Número de días de chuvia (>1L/m2)","16.0","Días"
"1","2020-01-01 00:00:00.0","NDPP30_RECUENTO_1.5m","Número de días de chuvia (>30L/m2)","8.0","Días"
"1","2020-01-01 00:00:00.0","NDPP60_RECUENTO_1.5m","Número de días de chuvia (>60L/m2)","2.0","Días"
"1","2020-01-01 00:00:00.0","NDX_RECUENTO_1.5m","Número de días de xeada","0.0","Días"
"1","2020-01-01 00:00:00.0","PR_AVG_1.5m","Presión","980.9","hPa"
"1","2020-01-01 00:00:00.0","PRED_AVG_1.5m","Presión reducida","1025.7","hPa"
"1","2020-01-01 00:00:00.0","VV_MAX_2m","Refacho máximo a 2m","67.6","km/h"
"1","2020-01-01 00:00:00.0","TA_AVGMIN_1.5m","Temperatura  media das mínimas a 1.5m","5.2","ºC"
"1","2020-01-01 00:00:00.0","TO_AVG_1.5m","Temperatura de orballo a 1.5m","7.5","ºC"
"1","2020-01-01 00:00:00.0","TS_AVG_-0.1m","Temperatura do solo a -0.1m","8.5","ºC"
"1","2020-01-01 00:00:00.0","TA_MAX_1.5m","Temperatura máxima a 1.5m","14.0","ºC"
"1","2020-01-01 00:00:00.0","TA_AVG_0.1m","Temperatura media a 0.1m","7.8","ºC"
"1","2020-01-01 00:00:00.0","TA_AVG_1.5m","Temperatura media a 1.5m","8.2","ºC"
"1","2020-01-01 00:00:00.0","TA_AVGMAX_1.5m","Temperatura media das máximas a 1.5m","11.4","ºC"
"1","2020-01-01 00:00:00.0","TA_MIN_1.5m","Temperatura mínima a 1.5m","0.6","ºC"
"1","2020-01-01 00:00:00.0","VV_AVG_2m","Velocidade do vento a 2m","11.8","km/h"
"1","2020-02-01 00:00:00.0","PP_SUM_1.5m","Chuvia","163.2","L/m2"
"1","2020-02-01 00:00:00.0","PP_MAX_1.5m","Chuvia diaria máxima","49.2","L/m2"
"1","2020-02-01 00:00:00.0","DV_CONDICION_2m","Dirección do refacho a 2m","0.0","º"
"1","2020-02-01 00:00:00.0","DVP_MODA_2m","Dirección do vento predominante a 2m","225.0","º"
"1","2020-02-01 00:00:00.0","HFRIO7_SUM_1.5m","Horas de frío ( <=7ºC)","110.7","h"
"1","2020-02-01 00:00:00.0","HF_SUM_1.5m","Horas humidade foliar mensuais","334.4","h"
"1","2020-02-01 00:00:00.0","HR_AVGMAX_1.5m","Humidade media das máximas a 1.5m","100.0","%"
"1","2020-02-01 00:00:00.0","HR_AVGMIN_1.5m","Humidade media das mínimas a 1.5m","78.0","%"
"1","2020-02-01 00:00:00.0","HR_AVG_1.5m","Humidade relativa media a 1.5m","95.0","%"
"1","2020-02-01 00:00:00.0","NDPP_RECUENTO_1.5m","Número de días de chuvia (>0L/m2)","19.0","Días"
"1","2020-02-01 00:00:00.0","NDPP10_RECUENTO_1.5m","Número de días de chuvia (>10L/m2)","6.0","Días"
"1","2020-02-01 00:00:00.0","NDPP1_RECUENTO_1.5m","Número de días de chuvia (>1L/m2)","15.0","Días"
"1","2020-02-01 00:00:00.0","NDPP30_RECUENTO_1.5m","Número de días de chuvia (>30L/m2)","1.0","Días"
"1","2020-02-01 00:00:00.0","NDPP60_RECUENTO_1.5m","Número de días de chuvia (>60L/m2)","0.0","Días"
"1","2020-02-01 00:00:00.0","NDX_RECUENTO_1.5m","Número de días de xeada","0.0","Días"
"1","2020-02-01 00:00:00.0","PR_AVG_1.5m","Presión","981.8","hPa"
"1","2020-02-01 00:00:00.0","PRED_AVG_1.5m","Presión reducida","1026.3","hPa"
"1","2020-02-01 00:00:00.0","VV_MAX_2m","Refacho máximo a 2m","64.9","km/h"
"1","2020-02-01 00:00:00.0","TA_AVGMIN_1.5m","Temperatura  media das mínimas a 1.5m","7.0","ºC"
"1","2020-02-01 00:00:00.0","TO_AVG_1.5m","Temperatura de orballo a 1.5m","9.3","ºC"
"1","2020-02-01 00:00:00.0","TS_AVG_-0.1m","Temperatura do solo a -0.1m","10.4","ºC"
"1","2020-02-01 00:00:00.0","TA_MAX_1.5m","Temperatura máxima a 1.5m","21.5","ºC"
