"Código validación","Data","Código parámetro","Parámetro","Valor","Unidades"
"1","2010-12-01 00:00:00.0","PP_SUM_1.5m","Chuvia","247.4","L/m2"
"1","2010-12-01 00:00:00.0","PP_MAX_1.5m","Chuvia diaria máxima","74.6","L/m2"
"9","2010-12-01 00:00:00.0","DV_CONDICION_2m","Dirección do refacho a 2m","-9999.0","º"
"9","2010-12-01 00:00:00.0","DVP_MODA_2m","Dirección do vento predominante a 2m","-9999.0","º"
"1","2010-12-01 00:00:00.0","HFRIO7_SUM_1.5m","Horas de frío ( <=7ºC)","348.0","h"
"1","2010-12-01 00:00:00.0","HF_SUM_1.5m","Horas humidade foliar mensuais","408.2","h"
"1","2010-12-01 00:00:00.0","HR_AVGMAX_1.5m","Humidade media das máximas a 1.5m","98.0","%"
"1","2010-12-01 00:00:00.0","HR_AVGMIN_1.5m","Humidade media das mínimas a 1.5m","76.0","%"
"1","2010-12-01 00:00:00.0","HR_AVG_1.5m","Humidade relativa media a 1.5m","92.0","%"
"1","2010-12-01 00:00:00.0","NDPP_RECUENTO_1.5m","Número de días de chuvia (>0L/m2)","24.0","Días"
"1","2010-12-01 00:00:00.0","NDPP10_RECUENTO_1.5m","Número de días de chuvia (>10L/m2)","9.0","Días"
"1","2010-12-01 00:00:00.0","NDPP1_RECUENTO_1.5m","Número de días de chuvia (>1L/m2)","16.0","Días"
"1","2010-12-01 00:00:00.0","NDPP30_RECUENTO_1.5m","Número de días de chuvia (>30L/m2)","1.0","Días"
"1","2010-12-01 00:00:00.0","NDPP60_RECUENTO_1.5m","Número de días de chuvia (>60L/m2)","1.0","Días"
"1","2010-12-01 00:00:00.0","NDX_RECUENTO_1.5m","Número de días de xeada","13.0","Días"
"9","2010-12-01 00:00:00.0","PR_AVG_1.5m","Presión","-9999.0","hPa"
"9","2010-12-01 00:00:00.0","PRED_AVG_1.5m","Presión reducida","-9999.0","hPa"
"9","2010-12-01 00:00:00.0","VV_MAX_2m","Refacho máximo a 2m","-9999.0","km/h"
"1","2010-12-01 00:00:00.0","TA_AVGMIN_1.5m","Temperatura  media das mínimas a 1.5m","2.8","ºC"
"1","2010-12-01 00:00:00.0","TO_AVG_1.5m","Temperatura de orballo a 1.5m","4.6","ºC"
"1","2010-12-01 00:00:00.0","TS_AVG_-0.1m","Temperatura do solo a -0.1m","7.4","ºC"
"1","2010-12-01 00:00:00.0","TA_MAX_1.5m","Temperatura máxima a 1.5m","17.5","ºC"
"9","2010-12-01 00:00:00.0","TA_AVG_0.1m","Temperatura media a 0.1m","-9999.0","ºC"
"1","2010-12-01 00:00:00.0","TA_AVG_1.5m","Temperatura media a 1.5m","6.0","ºC"
"1","2010-12-01 00:00:00.0","TA_AVGMAX_1.5m","Temperatura media das máximas a 1.5m","9.7","ºC"
"1","2010-12-01 00:00:00.0","TA_MIN_1.5m","Temperatura mínima a 1.5m","-4.0","ºC"
"1","2010-12-01 00:00:00.0","VV_AVG_2m","Velocidade do vento a 2m","2.6","km/h"
"1","2011-01-01 00:00:00.0","PP_SUM_1.5m","Chuvia","250.0","L/m2"
"1","2011-01-01 00:00:00.0","PP_MAX_1.5m","Chuvia diaria máxima","42.2","L/m2"
"9","2011-01-01 00:00:00.0","DV_CONDICION_2m","Dirección do refacho a 2m","-9999.0","º"
"9","2011-01-01 00:00:00.0","DVP_MODA_2m","Dirección do vento predominante a 2m","-9999.0","º"
"1","2011-01-01 00:00:00.0","HFRIO7_SUM_1.5m","Horas de frío ( <=7ºC)","286.8","h"
"1","2011-01-01 00:00:00.0","HF_SUM_1.5m","Horas humidade foliar mensuais","378.0","h"
"1","2011-01-01 00:00:00.0","HR_AVGMAX_1.5m","Humidade media das máximas a 1.5m","96.0","%"
"1","2011-01-01 00:00:00.0","HR_AVGMIN_1.5m","Humidade media das mínimas a 1.5m","76.0","%"
"1","2011-01-01 00:00:00.0","HR_AVG_1.5m","Humidade relativa media a 1.5m","90.0","%"
"1","2011-01-01 00:00:00.0","NDPP_RECUENTO_1.5m","Número de días de chuvia (>0L/m2)","22.0","Días"
"1","2011-01-01 00:00:00.0","NDPP10_RECUENTO_1.5m","Número de días de chuvia (>10L/m2)","6.0","Días"
"1","2011-01-01 00:00:00.0","NDPP1_RECUENTO_1.5m","Número de días de chuvia (>1L/m2)","17.0","Días"
"1","2011-01-01 00:00:00.0","NDPP30_RECUENTO_1.5m","Número de días de chuvia (>30L/m2)","3.0","Días"
"1","2011-01-01 00:00:00.0","NDPP60_RECUENTO_1.5m","Número de días de chuvia (>60L/m2)","0.0","Días"
